Question,Answer
  Which of the following techniques can improve the performance of small language models? ,A) Knowledge distillation from larger models
  In what scenario might a small language model be preferred over a large one?   ,D) When operating on devices with limited processing power
  Which of the following is an example of a small language model? ,B) DistilBERT
  What role does fine-tuning play in the use of small language models? ,A) It adapts the model to specific tasks or domains.
10. Which area benefits most from small language models? ,C) Internet of Things (IoT) devices and applications
Why is AI beneficial for Automatic Number Plate Recognition (ANPR) systems? ,It improves accuracy and speed in license plate detection
Which machine learning technique is essential for reading characters on license plates?  ,Optical Character Recognition (OCR)
How does computer vision aid ANPR systems in diverse weather conditions?  ,By isolating license plates even in low-light or rainy conditions
What is a future trend for ANPR systems involving AI and IoT?  ,Autonomous drones for traffic monitoring
How does predictive analytics improve traffic management?  ,By predicting and reducing potential congestion
  What is a key privacy concern in AI-powered ANPR systems?  ,Data misuse or unauthorized access
  How does AI in ANPR benefit toll collection?  ,By enabling automatic toll charges through vehicle recognition
  Which condition might challenge ANPR systems when capturing license plates?  ,Reduced visibility due to poor lighting
   In what way does AI-based ANPR contribute to environmental benefits?  ,By reducing emissions through improved traffic flow
  How can ANPR systems enhance urban traffic safety?  ,By automatically identifying and fining speed violators
"Ques. 1. In a typical Number Plate Recognition pipeline, which process involves determining the location of the license plate within an image? ",License Plate Localization
Ques 2. Which deep learning architecture is best suited for feature extraction from license plate images?,Convolutional Neutal Network (CNN)
"  Ques. 3. What is the main role of the Region Proposal Network (RPN) in object detection frameworks like Faster R-CNN, when applied to NPR?   ",Proposes candidate regions likely containing the license plate
  Ques. 4. Which loss function is commonly used in character-level OCR for Number Plate Recognition?   ,Connectionist Temporal Classification (CTC) Loss
  Ques. 5. Which algorithm is often employed for edge detection to enhance license plate localization?   ,Canny Edge Detection
  Ques. 6. What technique is used to improve model robustness in scenarios involving occluded or low-resolution license plates?   ,Data Augmentation
  Ques. 7. What is the primary advantage of using YOLO (You Only Look Once) for license plate detection?  ,Real-time detection with a single forward pass
"  Ques. 8.   In a CNN-based Number Plate Recognition system, which layer type is primarily responsible for down-sampling spatial dimensions while retaining key features?  ",Pooling Layer
  What is the typical purpose of the Non-Maximum Suppression (NMS) technique in object detection systems for NPR?   ,To reduce false positives by eliminating overlapping bounding boxes
  Which evaluation metric is best suited for measuring the overall effectiveness of a license plate detection model?   ,Intersection over Union (IoU)
1. What primary advantage does Starlink's Low Earth Orbit (LEO) satellite network provide? ,C) Reduced latency for faster data transfer
2. What is the purpose of Inter-Satellite Laser Links (ISLs) in Starlink? ,B) They reduce latency by enabling satellite-to-satellite data transfer.
3. How do phased array antenna benifits starlink's users?,B) By enabling users to dynamically connect with multiple satellites
"4. What role did Starlink play during the Russia-Ukraine conflict? 
","B) It provided high-speed, reliable internet where infrastructure was damaged."
 5. Which of the following AI applications helps Starlink satellites avoid collisions?,B) Reinforcement Learning
"     
6. In addition to conflict zones, where else is Starlink particularly useful?  ",B) In rural or remote areas lacking reliable connectivity
7. What cybersecurity measures does Starlink use to ensure secure communications?,B) Encrypted data transmission and jamming resistance
"8. How did Starlink’s network affect emergency response capabilities in Ukraine?
   ","A) By providing real-time, encrypted communication for crisis management"
  9. What future advancements are planned for Starlink’s satellite network?,B) Enhancing inter-satellite connectivity and autonomous management
"
10. Which technology in Starlink terminals helps maintain stable connections even in mobile settings?",B) Phased-Array Antennas
1. What inspired the development of Vision Transformers (ViTs)?   ,Natural Language Processing Transformers
  2. How do Vision Transformers (ViTs) process an image differently from CNNs?  ,By dividing the image into patches and processing them as sequences
  3. What mechanism do Vision Transformers use to understand relationships across an image?  ,Self-Attention
  4. Which of the following is a key advantage of Vision Transformers over CNNs?  ,Better at capturing long-range dependencies
  5. Why do Vision Transformers require large amounts of data to perform optimally?   ,Because their architecture is designed for large-scale learning
  6. What challenge do Vision Transformers face when applied to smaller datasets?  ,High risk of overfitting
  7. In what type of tasks have Vision Transformers shown state-of-the-art performance?   ,Image Classification and Object Detection
  8. Which of the following is NOT a limitation of Vision Transformers?,Struggle with capturing local features
  9. What is the primary reason for the high computational cost of Vision Transformers?  ,Complex self-attention calculations
  10. Which future development could make Vision Transformers more efficient?   ,Hybrid models combining CNNs and Transformers
1.How does AI improve traffic control in congested areas?,B) By predicting congestion and adjusting signals in real-time
2.What is a primary challenge in using AI for traffic management?,A) Privacy concerns with real-time monitoring
"3.In addition to traffic control, where else can AI be applied similarly?",C) Waste management
4.How might privacy concerns arise with AI-based traffic cameras?,A) AI may misuse personal data for surveillance
5.What impact could AI-based traffic control have on city emissions?,B) Decrease due to smoother traffic flow
6.How can citizens contribute to effective AI-powered traffic systems?,B) By obeying traffic rules and signals
7.Are AI traffic systems feasible in developing countries with limited resources?,"A) Yes, with affordable adaptations"
8.What is a benefit of predictive analytics in AI traffic control?,B) Optimizes signal timing based on forecasts
9.Which technology is commonly used in AI traffic systems?,B) IoT and Machine Learning
10.What environmental impact can AI-based traffic management have?,B) Reduces emissions and energy consumption
What is the primary goal of AI-based CCTV systems in crowd management?,B) To forecast and prevent overcrowding incidents
Which deep learning model is commonly used for predicting crowd behavior trends?,B) ARIMA (AutoRegressive Integrated Moving Average)
What technique is used to estimate the movement and direction of crowds in computer vision?,A) Optical Flow
Which of the following is a key feature of PaDNet (Pan-Density Network)?,C) It handles various crowd densities within a scene
Which component of PaDNet extracts base features for crowd density estimation?,C) Feature Extraction Network (FEN)
What does the Density-Aware Network (DAN) in PaDNet specifically train on?,B) Different crowd density levels
What is the key benefit of using predictive analytics for crowd management?,B) It helps predict crowd surges and optimize resource allocation
Which of the following deep learning techniques is used for crowd behavior monitoring?,A) CNNs and Autoencoders
Which evaluation metric is used to assess local and global accuracy in crowd density estimation?,B) Patch MAE and Patch RMSE
What is one of the main risks associated with deploying AI-powered CCTV systems for crowd management?,B) Data privacy concerns and regulatory compliance
1. What is transfer learning?,"Transfer learning involves using a pre-trained model on a new, similar task, reducing training time and data needs."
2. Why is transfer learning important in deep learning? ,"It enables models to leverage previously learned knowledge, which can improve performance on new tasks with limited data."
3. When is transfer learning most effective?  ,It works best when the new task is related to the original task the model was trained on.
4. What is fine-tuning in transfer learning?  ,"Adjusts a pre-trained model on a new dataset, typically by training its top layers."
5. How does transfer learning differ from traditional machine learning?  ,"Transfer learning uses pre-existing knowledge, while traditional ML generally requires training from scratch."
6.  What are pre-trained models?  ,"Pre-trained models are neural networks trained on large datasets for specific tasks, used Pre-trained models are neural networks trained on large datasets for specific tasks, used Pre-trained models are neural networks trained on large datasets for specific tasks, used as starting points for related tasks."
7. What is domain adaptation in transfer learning?  ,Modifies a model to perform well on data with a different distribution from the original training data
8. Can transfer learning be used in NLP and CV tasks?  ,"Yes, it’s commonly applied in Natural Language Processing (NLP) and Computer Vision (CV) tasks, using models like BERT and ResNet."
9. What is the risk of overfitting in transfer learning?   ,"Overfitting can occur if the new task differs significantly from the pre-trained task, leading to poor performance."
10. Name a popular pre-trained model used in transfer learning.  ,ResNet
